lang_pair,clcs_opus,clcs_nllb
de-hr,0.6866666666666666,0.6866666666666665
ar-hu,0.6000000000000001,0.6
da-es,0.7400000000000001,0.7400000000000001
fr-id,0.6933333333333334,0.6933333333333334
hu-uk,0.6999999999999998,0.6999999999999998
bs-sl,0.7066666666666667,0.7066666666666667
hr-sv,0.7200000000000001,0.7200000000000001
es-ro,0.7066666666666667,0.7066666666666667
hu-sr,0.62,0.62
fi-it,0.6333333333333333,0.6333333333333333
pl-sv,0.6466666666666666,0.6466666666666666
cs-hr,0.6733333333333333,0.6733333333333333
da-hu,0.6933333333333334,0.6933333333333334
de-ro,0.6999999999999998,0.6999999999999998
fi-fr,0.6333333333333333,0.6333333333333333
es-pl,0.6866666666666666,0.6866666666666666
